placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2024-11-17 00:00:00,2024-11-18 00:00:00,973,17,334,50,70,98,41,45,29,6,0,79,42,30,47,33,22,13,12,0,1,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-18 00:00:00,2024-11-19 00:00:00,625,9,193,52,30,50,43,28,22,13,1,48,29,17,28,20,24,4,11,0,3,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-19 00:00:00,2024-11-20 00:00:00,640,6,168,40,40,71,51,28,32,22,0,39,25,23,30,23,15,12,11,0,0,1,1,0,1,1,0,0
fukui-station-east-entrance,Face,2024-11-20 00:00:00,2024-11-21 00:00:00,660,6,163,42,43,70,63,37,24,24,2,39,24,20,40,31,15,8,5,0,0,0,0,1,0,3,0,0
fukui-station-east-entrance,Face,2024-11-21 00:00:00,2024-11-22 00:00:00,665,4,199,48,42,74,48,34,24,24,0,55,22,13,28,15,20,8,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-22 00:00:00,2024-11-23 00:00:00,798,8,274,44,37,84,53,37,23,15,0,68,25,24,34,22,24,13,12,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-23 00:00:00,2024-11-24 00:00:00,1182,4,320,82,89,127,79,56,41,24,1,110,53,45,60,43,25,11,6,0,2,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-24 00:00:00,2024-11-25 00:00:00,1190,10,335,72,63,107,79,56,35,17,2,97,63,55,72,50,49,18,5,0,2,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-25 00:00:00,2024-11-26 00:00:00,710,8,230,47,42,48,38,30,21,14,1,56,35,27,49,24,14,16,9,0,0,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2024-11-26 00:00:00,2024-11-27 00:00:00,643,5,161,43,38,66,39,30,23,16,3,71,23,22,31,25,20,14,10,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-27 00:00:00,2024-11-28 00:00:00,625,4,185,53,38,51,39,33,32,18,0,46,20,25,38,10,18,9,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-28 00:00:00,2024-11-29 00:00:00,707,6,185,50,37,66,40,45,41,19,0,55,24,24,33,23,23,14,22,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-29 00:00:00,2024-11-30 00:00:00,848,7,265,55,59,87,53,33,24,10,1,83,32,31,48,38,11,7,3,0,0,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2024-11-30 00:00:00,2024-12-01 00:00:00,1148,13,366,83,71,104,68,44,35,21,1,98,43,54,58,40,19,11,11,0,1,0,0,2,3,0,0,0
fukui-station-east-entrance,Face,2024-12-01 00:00:00,2024-12-02 00:00:00,1035,13,290,63,59,106,50,32,37,19,1,100,54,61,72,37,15,17,7,0,0,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2024-12-02 00:00:00,2024-12-03 00:00:00,531,5,151,35,46,56,29,31,23,12,0,57,10,17,25,15,10,2,5,0,0,0,0,2,0,0,0,0
fukui-station-east-entrance,Face,2024-12-03 00:00:00,2024-12-04 00:00:00,569,9,187,35,44,59,38,35,26,14,2,34,11,19,19,14,11,7,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-04 00:00:00,2024-12-05 00:00:00,532,13,180,48,27,54,35,22,14,7,0,43,20,17,14,14,10,7,6,0,0,0,0,0,0,0,0,1
fukui-station-east-entrance,Face,2024-12-05 00:00:00,2024-12-06 00:00:00,531,6,167,44,29,63,33,21,24,3,1,45,24,15,18,19,14,3,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 00:00:00,2024-12-07 00:00:00,732,10,216,62,44,75,66,34,34,11,0,54,19,24,27,22,17,9,8,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-07 00:00:00,2024-12-08 00:00:00,877,11,265,56,49,93,57,39,24,11,2,85,34,45,49,27,19,7,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-08 00:00:00,2024-12-09 00:00:00,922,15,271,53,67,82,57,32,26,6,2,97,37,47,55,36,18,13,5,0,2,1,0,0,0,0,0,0
